1,Teléfono Móvil,Teléfono inteligente con cámara de alta resolución.,150,t,1
2,Camiseta,Camiseta de algodón con estampado.,200,t,2
3,Lápiz,Lápiz de grafito para escritura.,500,t,3
4,Televisor,Televisor LED de 55 pulgadas.,75,t,1
5,Chaqueta,Chaqueta impermeable para invierno.,80,t,2
6,Galletas,Galletas de chocolate con nueces.,300,t,3
7,Sofá,Sofá de tres plazas de cuero.,20,t,4
8,Bicicleta,Bicicleta de montaña con cambios.,50,t,5
9,Crema Hidratante,Crema para el cuidado de la piel.,100,t,6
10,Novela,Novela de ficción contemporánea.,120,t,7
11,Juguete de Construcción,Juego de bloques de construcción.,250,t,8
12,Aceite de Motor,Aceite para automóviles de alta calidad.,60,t,9
13,CD de Música,Álbum de música de un artista famoso.,150,t,10
14,Cámara,Cámara digital con lente intercambiable.,40,t,1
15,Pantalones,Pantalones de mezclilla para hombres.,90,t,2
